event_id,title,description,status,date,time,follow_up,other_details,location_id,category_id,client_id,created_by,created_at,modified_by,modified_at
1,Quisque ut erat.,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,ACTIVE,2024-08-14,20:39:57,Nam nulla.,"[{},{},{},{},{},{},{},{},{},{}]",2,1,456,859,2024-08-20 13:39:15,141,2024-03-15 05:11:27
2,Aliquam non mauris. Morbi non lectus.,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,PENDING,2024-04-02,0:30:29,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","[{},{},{},{}]",3,5,318,139,2024-02-05 04:49:07,407,2024-08-03 10:06:13
3,Morbi a ipsum.,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,ACTIVE,2024-11-20,13:27:36,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,"[{},{},{},{},{},{}]",1,2,275,773,2024-02-11 15:15:01,471,2024-07-18 20:10:09
4,Aenean auctor gravida sem.,Donec dapibus.,COMPLETED,2024-01-18,9:49:47,Phasellus sit amet erat.,"[{},{},{},{},{},{},{},{},{},{}]",2,4,352,115,2024-08-31 14:38:54,548,2024-03-03 09:56:35
5,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",ACTIVE,2024-08-23,3:05:03,Curabitur in libero ut massa volutpat convallis.,"[{},{},{},{}]",3,3,649,644,2024-11-16 00:46:20,912,2024-03-09 19:20:09
6,Ut tellus.,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,ACTIVE,2024-07-12,18:27:38,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.","[{},{},{},{},{},{},{}]",1,6,765,572,2024-01-13 08:32:03,33,2024-03-23 03:39:56
7,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",PENDING,2024-06-04,4:38:37,Quisque porta volutpat erat.,[],1,3,776,837,2024-11-22 19:07:15,793,2024-09-27 22:46:39
8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",ACTIVE,2024-04-13,22:35:40,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",[{}],2,5,548,490,2024-08-29 06:35:26,493,2024-07-13 19:55:38
9,Nam tristique tortor eu pede.,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",ACTIVE,2024-09-08,18:40:24,Sed sagittis.,[{}],3,6,326,826,2024-07-25 05:39:52,980,2024-05-13 16:11:04
10,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Integer ac leo.,COMPLETED,2024-07-16,1:15:07,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","[{},{},{},{},{},{},{},{},{}]",1,4,971,894,2024-06-07 20:07:25,792,2024-10-09 19:18:29
